"","logFC","logCPM","LR","PValue","FDR"
"Paqr6",3.33115197765203,-0.916497605673128,36.7322488758917,1.35518982846677e-09,9.5257324165625e-09
"Ighv14-2",3.33061231388781,-3.18066246045383,6.52885687366951,0.0106138146775117,0.0276538622344073
"Tal2",3.32914602174224,-3.43108311239894,7.18693327943421,0.00734363845157146,0.0198327308234286
"Mrc2",3.32886119039434,3.20234987832969,219.41005346427,1.21637291604504e-49,2.73599288863799e-47
"Slc26a5",3.32504157396629,-3.75797633875318,7.36585226470052,0.00664740861919755,0.0180884198140946
"Nkain1",3.32450739929349,-0.42295658671049,59.3122306224568,1.34537753505684e-14,1.6081737846264e-13
"Cyp11b1",3.32340367713514,-3.7982207954875,6.37606793022896,0.0115669417155214,0.0298664485281885
"Trpc6",3.32301159993418,-2.87723356794011,7.98705559188642,0.00471129726403956,0.0132320441182314
"Prdm16os",3.32208518015918,-1.76753572128374,61.7403947416313,3.91858396360384e-15,4.90145122758899e-14
"Slc5a4b",3.31936236126872,-3.74419454873002,5.73606682506007,0.0166199694750945,0.0412897378421312
"1700003M07Rik",3.31856778470679,-3.7425095789698,6.33232538200282,0.0118556768080023,0.0305296955691981
"Ighv8-5",3.31758782691293,-3.61934688952961,7.39659761538519,0.00653473601389511,0.0178080506185656
"Gm1965",3.31579522888675,-3.65735577115436,6.79042520177234,0.00916480767701615,0.0242299754886934
"Mospd4",3.31251061843076,-3.57024514801556,6.19567572196128,0.0128062820225142,0.0327138156306908
"Rnase1",3.31221385517967,-3.73197372501538,5.99769419673258,0.0143245880722606,0.0361743746622244
"Podxl2",3.31207817899205,-1.06555559671417,32.9629312614363,9.39328786639811e-09,6.00385908673387e-08
"Adora3",3.31143149725271,-2.81033673003599,12.7927115834737,0.000347972379883573,0.00120640685570947
"Sphk1",3.31063669248315,0.75040336523,66.8708328191568,2.89892446010869e-16,4.05113338787853e-15
"Fhl3",3.30926221145076,0.973682196822599,76.493373205291,2.20953181440774e-18,3.78753873050265e-17
"Phgdh",3.30812812382906,1.08282632850984,49.2512400033444,2.25190950737468e-12,2.13370488011945e-11
"Igkv3-10",3.30503734626718,-3.04407481730906,6.34083097183824,0.0117989593066681,0.0304108888387388
"Sele",3.30399374684971,-2.03550745116331,23.3849647360042,1.32610992254155e-06,6.53878867067904e-06
"Slc26a8",3.30121256313524,-3.19432486259762,10.8976554233333,0.000962860564224746,0.00309088039399373
"Spp1",3.29935112631082,7.8778823404786,182.567294676661,1.33320567279197e-41,1.62669958198632e-39
"Bspry",3.29914170774491,-0.561703183588734,56.1609299919136,6.6775354447673e-14,7.39733658885635e-13
"Tgfb3",3.29808732356576,2.34203931807127,170.068921906083,7.14682706431904e-39,6.50940055185706e-37
"Chil3",3.29549873206093,-0.927497106724994,19.4618810581363,1.02627462171742e-05,4.5301443071612e-05
"Cldn7",3.29238437544899,1.96131004542081,95.9617146425554,1.17126735754882e-22,2.92161742890214e-21
"Trhr2",3.29182718739141,-3.82556654794932,6.9370093047703,0.00844301628878922,0.0224964464711692
"Col28a1",3.29178841711772,-0.551489602565769,17.9598208068143,2.25617322408752e-05,9.47409623173244e-05
"Fjx1",3.29139368927171,-0.887497529095973,56.0426969483951,7.09141314792459e-14,7.83904204689595e-13
"Larp6",3.29076348859825,-1.86029399855466,14.4038037663843,0.000147504060099104,0.000546944885691445
"Aldh1a2",3.29053681162612,0.844390539303431,91.0965650835939,1.36828995743181e-21,3.15450591166566e-20
"Ccdc80",3.28870718337798,5.08456507787647,308.566859788262,4.48153649335666e-69,3.73948078947279e-66
"Klc3",3.28465559126355,-0.126823671243881,85.834649334563,1.95628143378128e-20,4.03855800858901e-19
"Gm13277",3.28465284980137,-2.42820399462536,31.577812170457,1.91606375589589e-08,1.1806293752682e-07
"Mboat4",3.28454020123623,-3.77107062958615,6.14425669786219,0.0131839569408146,0.0335824140017777
"Cpne9",3.28008904342186,-3.44187088903368,12.4369726817866,0.000420917495919128,0.00143943321879165
"Asb4",3.27902501925537,-0.61454259683944,77.7139204797627,1.19099013734302e-18,2.0971641853405e-17
"Adamts4",3.2785319587301,-0.542927872959657,52.3974804505771,4.53305151978881e-13,4.5892932940265e-12
"Ctnna2",3.27652242465191,-2.6580038261814,18.3986190834598,1.79187794351216e-05,7.62218496379362e-05
"Lamc2",3.27251789854074,2.00524333614138,140.572198553717,1.99567080785036e-32,1.10776860057222e-30
"Ggt1",3.27010438320371,-1.16047714479461,42.681085258695,6.44323195314168e-11,5.25763662245791e-10
"Slc16a8",3.26970978110805,-3.29330631466481,17.9215576392924,2.30198822306476e-05,9.6539444497432e-05
"Boc",3.26898254126895,0.137504414353339,95.1854235939193,1.73362100615322e-22,4.29125115465697e-21
"Tuba3a",3.2672475206846,-2.98588134863655,12.9029294760331,0.000328068251424624,0.00114399318678899
"Ano2",3.26633974406599,-2.8578630630673,30.978670579282,2.60879688544399e-08,1.58482266406246e-07
"Chrnb1",3.26150984473052,1.31340680212542,125.134342532743,4.75631597643943e-29,2.01691189118949e-27
"Fbp2",3.26030438880253,-1.35972155046106,23.3710061065658,1.33576787872354e-06,6.58264578375726e-06
"Fgf2",3.25999501086872,-3.19991248923367,16.2115414070006,5.66479407832895e-05,0.000224568932450781
"Ereg",3.2593551281,-0.451391014684151,53.6599695857737,2.38370999219266e-13,2.48626719225998e-12
"Atp13a4",3.25391800562692,-2.72461103692809,8.20390040302379,0.00418004337165201,0.0118727552316375
"Hspb9",3.25369153871656,-2.90203763363153,12.748623680118,0.000356271227717573,0.00123319521575946
"AI854703",3.2528452866475,-2.46415435477266,33.2855293056841,7.95725597998909e-09,5.13676916482101e-08
"Dnah3",3.25229906052047,-3.29344299359047,11.4301755938008,0.000722608563459572,0.00237264733574622
"Mgarp",3.25089913826013,-3.35541659563544,6.20804954618472,0.0127170672962878,0.0325003550317399
"Trp53cor1",3.25075452550043,-1.60092373775038,38.5235744532997,5.40962854610213e-10,3.97756855037021e-09
"Slc5a8",3.24676743899145,-2.4690629053947,18.0756411721692,2.1230013980675e-05,8.94392136218437e-05
"Krt17",3.24478532540491,-1.66174620295214,14.2294340250374,0.000161819524125363,0.000594994403774096
"Lrrn2",3.23730382135303,-2.97488242830616,8.46108593954136,0.00362825168914369,0.0104164246884661
"Tmem45b",3.2364794829324,-1.12316644945712,26.8559919194633,2.19193697460576e-07,1.19643033809089e-06
"4930478L05Rik",3.23294650647591,-3.82354127761395,5.40194667456651,0.0201143044126531,0.0488312259260532
"Ermap",3.23261485948493,-2.88828147952873,23.3085172857335,1.37987600466026e-06,6.79224597764927e-06
"Ncam1",3.22937738090405,1.19125332199394,76.7656315453624,1.92498584350381e-18,3.31957392092754e-17
"Foxred2",3.22786460232744,-0.221597859962118,68.0138006006886,1.6235522544322e-16,2.33054529219743e-15
"Atp6v0e2",3.22622446729204,1.11868907575067,100.847540147843,9.93431061291351e-24,2.73956090217733e-22
"Cpt1c",3.22460441844591,-0.106761934476465,86.5965466323956,1.33079329319338e-20,2.79185970113813e-19
"Kcnk1",3.22426562472452,0.667091585983035,95.6158602018097,1.39484462513111e-22,3.47261269665702e-21
"Gm128",3.22395297201417,-2.82620658042736,14.3594842648019,0.000151017047549616,0.000558689640870411
"Gdf6",3.22345228667574,1.46528350673551,200.770238027615,1.41824184868013e-45,2.42951403309992e-43
"Shisa8",3.21923498697897,-3.05531702780448,22.6012134349223,1.99358653702274e-06,9.61732617552541e-06
"Themis3",3.21663938072564,-3.60468480948461,5.72574088322989,0.0167179813988324,0.0415082466468834
"Tnc",3.21620836916393,2.34661217234803,62.0835830237342,3.29184329289718e-15,4.15569109113575e-14
"Cav3",3.21347381561226,-2.82124941398948,6.01731392707318,0.0141661915663777,0.0358163304904205
"Kcnj5",3.21337224897582,-1.86647409872093,23.2613944594405,1.41410157760472e-06,6.94881563599949e-06
"Gm13286",3.21273150587091,-3.23020750897185,12.5386790816662,0.000398613987508895,0.00136986156701111
"AW047730",3.21075115290452,-3.71648247330417,5.67249681385616,0.0172329111986116,0.0426445722734609
"Slpi",3.20903810667617,2.0862859804998,43.1432091126171,5.08761742348646e-11,4.18979305613895e-10
"Emb",3.20867436469933,0.244267935855137,128.083934595497,1.07595172625735e-29,4.8402857918433e-28
"Pla2g10",3.20837341069227,-3.76972117483985,6.59946245594683,0.0102009560448683,0.0266910914437193
"Galnt17",3.20725907213848,-1.24870451789521,40.777724082368,1.70566342986237e-10,1.31820722857036e-09
"Cthrc1",3.20654300858435,-2.4900577416625,8.76004589593012,0.00307901300618831,0.0089609394049362
"Ncs1",3.20322036426396,-0.473955885716577,62.2350089777029,3.04820538606163e-15,3.85941892908742e-14
"Samd15",3.20319112291438,-3.18896150885476,12.9762049084399,0.000315474771760675,0.00110424707999099
"Tcf15",3.20158393987624,-2.97559336914266,5.47013791742427,0.0193440989699217,0.0472139845305684
"Airn",3.20129754476841,-0.280047119811531,105.838925035809,7.9979029402257e-25,2.38725330895046e-23
"Prom2",3.19600797540043,-2.94002326661559,10.7815742323816,0.00102515457640387,0.00327606856970361
"Prdm14",3.19371824359602,-3.01079765553775,15.538368628802,8.08475328720013e-05,0.00031217840465742
"Rxfp3",3.19344423127064,-3.75671446897883,6.06393860212536,0.0137969645486755,0.0349892081349987
"Capn12",3.18941754678799,-3.12966705318068,7.44108767523805,0.00637513500919596,0.0174153149522518
"Tex19.2",3.18874064949696,-3.81085759278222,6.90695565723548,0.00858610590918665,0.0228377173833348
"Trav9d-2",3.18827939429903,-3.79731217534092,6.26489699642415,0.0123153329209543,0.031568795626432
"Trav9n-2",3.18827939429903,-3.79731217534092,6.26489699642415,0.0123153329209543,0.031568795626432
"Gad1os",3.18784727022756,-3.57097264937943,7.22156308506399,0.00720329556142931,0.0194846681712137
"Igkj3",3.18775839292249,-3.77124696287103,5.63205683657207,0.0176349274874687,0.0435352805228434
"Pgap4",3.18624957392219,0.323653909236605,98.7339066075478,2.8881452934041e-23,7.62323003106978e-22
"D030040B21Rik",3.18597600394163,-3.57004831740441,7.11638074627484,0.00763827518177515,0.0205539494320974
"Zcchc12",3.1852217449823,-3.50553644554153,7.38180864265498,0.00658868776070759,0.0179437340815143
"Dynlt2a3",3.18465864185039,-1.84772020052928,50.7757991559637,1.03542564122817e-12,1.01567520142772e-11
"Snx31",3.18427957877608,-2.84968343480982,10.9554128735251,0.000933305741841212,0.00300047472336647
"Baalc",3.18205278135282,-3.55187913230562,6.44096200842614,0.0111518238007474,0.0289100246796887
"Mrgpra2a",3.18154690048666,-3.59639518702128,7.44338135817648,0.00636701547502311,0.0173986466609363
"Mrgpra2b",3.18154690048666,-3.59639518702128,7.44338135817648,0.00636701547502311,0.0173986466609363
"Paqr5",3.18034979383579,-2.42326154736892,10.6025485158589,0.00112931891081673,0.00358210818713629
"Prss16",3.18026252387743,-3.39910532012555,6.09074656169688,0.0135891655848164,0.034526170924511
"Itga8",3.17932533785017,4.3085497107828,129.320651819569,5.77015759626281e-30,2.68447241982968e-28
"Esx1",3.17848546111587,-3.83827784125256,7.54352206469151,0.00602262011368797,0.0165379102421196
"Fhl5",3.17846973174543,-3.78406798816044,7.54166804910841,0.00602882036601628,0.0165531786867364
"B4galt6",3.17769748854458,2.89662874027625,192.56250231309,8.77023695210443e-44,1.25336861458611e-41
"Sema5a",3.17752002754754,2.09571844651038,199.80865877388,2.29925390779747e-45,3.7882038747132e-43
"Trim40",3.17565157503093,-3.77026903453626,6.20104072190611,0.0127675218904768,0.0326212454307551
"Ighv1-58",3.17543483678353,-3.34883707181688,6.4997191989243,0.0107891531003877,0.0280626468826274
"Gm20754",3.1753387730007,-3.21663862511442,7.33527027632632,0.00676145120383158,0.0183832728914769
"Musk",3.17480369139243,-3.74498210579151,7.32177970672166,0.00681239181815787,0.0185042674745657
"1700022I11Rik",3.17468117726819,-3.79591109162767,7.03490040524774,0.00799363188823685,0.021415978876543
"Gm10220",3.17340684123734,-3.2982514745687,7.27276481824315,0.00700079564973786,0.0189761690319364
"BC051537",3.17298630264438,-3.60463658602061,6.52018602043141,0.010665684672658,0.0277750191712117
"Gm1720",3.17252963010183,-3.55871506102104,6.07832556756809,0.0136850423675992,0.034739057009096
"Ctse",3.17252254848067,-0.988937756373067,31.2859465812647,2.22685794271934e-08,1.36336412791293e-07
"Frzb",3.17240357426905,2.36167386272034,278.552201844273,1.5527420346034e-62,8.73147352371439e-60
"Tcf23",3.17087122461065,-1.81444229402073,25.1641448060915,5.26520488749904e-07,2.7381394214905e-06
"Bicc1",3.17076628282569,3.0821735586676,173.072141617878,1.57839017019722e-39,1.54068749179214e-37
"Krt12",3.17001483703021,-3.60902102199768,6.72262405064132,0.00951974616009578,0.0250505873777414
"Asz1",3.16955795062526,-2.50931266275943,17.5432455300738,2.80846656751885e-05,0.000116458167204248
"Armc3",3.16948197309704,-2.81727252576933,6.41049132046993,0.0113448019771532,0.0293514695682158
