"","logFC","logCPM","LR","PValue","FDR"
"Gm15348",-1.73896219219146,-3.04079272176465,7.28587397699033,0.00694989112201323,0.0207709802025553
"Cyp2j8",-1.73933894651736,-1.13159799423811,38.8667541154329,4.53742800897883e-10,4.32778946564364e-09
"Lpin1",-1.74092792529999,6.86164691945598,31.7835874766102,1.72342947089849e-08,1.33136058370775e-07
"4931403E22Rik",-1.74323069268167,-1.91491331675042,18.7593245774958,1.48296479342658e-05,7.48047002955643e-05
"Omd",-1.7457957788069,0.751334712304907,52.566741827335,4.15872436564442e-13,5.6707286856154e-12
"Rnase13",-1.74647294687482,-2.42728736916367,16.0972710792011,6.01706788820996e-05,0.000275329020103179
"Dusp1",-1.74668073335717,5.65498675378755,49.1651869300282,2.35289634401806e-12,2.97324717785614e-11
"Cyp2c23",-1.75165239360546,8.00278812162012,119.880712732489,6.71814356291966e-28,3.91392386355952e-26
"Lrrtm3",-1.75788141914866,-3.62379466902774,5.87757303897199,0.0153349452576759,0.0417754432869827
"Gm6225",-1.76123399165104,-1.73242778067866,20.4224337589638,6.20975767048974e-06,3.33183575321631e-05
"Ghr",-1.76577908273956,8.15861995525569,183.119620665516,1.00997849053374e-41,1.4595035538903e-39
"Rnf152",-1.76848888062297,4.07050974132143,76.7364155289873,1.9536751427143e-18,4.66196632071871e-17
"Saa4",-1.76943359481137,7.12748815450046,93.3346452393752,4.41594178410585e-22,1.54152720822491e-20
"Serpina3a",-1.76960199694586,2.7333623488404,38.5520809132802,5.33118979686387e-10,5.04211650733008e-09
"Ephx2",-1.77791064146864,9.17630446671063,199.047079152465,3.3711880548706e-45,6.5565805575442e-43
"Lhx6",-1.7809009311232,2.82245691528938,165.544368605029,6.95656762689795e-38,7.49773061687372e-36
"Hcn3",-1.7858969323636,4.33770755667149,40.2331218736,2.25394239171439e-10,2.22869754764817e-09
"Gbp2b",-1.79281451463425,-0.211519094207868,20.8680728031865,4.92027727826249e-06,2.68905160272165e-05
"1810008I18Rik",-1.79371653094348,4.84176520105622,54.2938676129805,1.72639748749342e-13,2.48230816058878e-12
"Cfhr1",-1.79598178213434,6.55344027287072,114.230614502139,1.16001591002793e-26,6.02532761941617e-25
"Slc17a8",-1.79737590799788,3.71103754771518,31.8325525095369,1.68052481936774e-08,1.29994424349837e-07
"Fmn2",-1.79876926866444,-1.22543717616887,17.5199704540038,2.84305674167089e-05,0.000137332117155557
"Hopx",-1.80120768852376,4.76710961903415,54.314652559949,1.708232972142e-13,2.45973044998185e-12
"Prodh",-1.82374871997329,6.64450703611351,55.6933527252615,8.47042109971891e-14,1.2613954092483e-12
"Ctcfl",-1.82407073272112,-0.338992158077759,40.7230629834237,1.75404736664816e-10,1.75792108613281e-09
"0610031O16Rik",-1.82462457413876,2.65046746158745,101.531271651295,7.0344108590486e-24,2.88366253076086e-22
"Ces1f",-1.82617798098013,8.10133849717917,107.898352101788,2.82922454084211e-25,1.30684912853505e-23
"Mir1968",-1.82827109552207,-3.31830471089129,7.57130032166049,0.00593049837221179,0.0180030749200801
"Xlr4a",-1.83174152391965,0.552134188195815,11.2822044633559,0.000782535792299593,0.00289293316270024
"4930480G23Rik",-1.8322931117781,0.468328004940844,86.8120106818128,1.19342558337131e-20,3.50799313239384e-19
"Cyp2d12",-1.8362893006915,7.66941929452594,111.38628832292,4.86949447004648e-26,2.39011790240403e-24
"Ugt2a3",-1.83773272362264,7.21515237314575,169.134165249548,1.14360539397684e-38,1.37589026632553e-36
"Acacb",-1.84190876892519,6.55137185850904,37.4384627512582,9.43431257450907e-10,8.66917809466523e-09
"Cyp2j5",-1.84573963966336,8.21097259032208,138.515197325671,5.62234814752502e-32,4.29006724283273e-30
"Cyp2c50",-1.84677594060568,8.92697639184802,72.8068907135223,1.42976781872395e-17,3.17117387601658e-16
"BC023105",-1.84764505576981,1.16303508236207,37.5865550657362,8.74451536780223e-10,8.06397073151302e-09
