gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSG00000170855,1387.5,1.59,0.13,12.3, 9.5e-35, 3.4e-34,TRIAP1
ENSG00000170873,443.09,-2.68,0.23,-11.79, 4.5e-32, 1.5e-31,MTSS1
ENSG00000170915,526.29,-3.86,0.28,-13.83, 1.7e-43, 7.5e-43,PAQR8
ENSG00000170949,937.35,-2.02,0.11,-18.2, 5.4e-74, 5.1e-73,ZNF160
ENSG00000170989,6415.5,-1.97,0.13,-15.41, 1.4e-53, 7.8e-53,S1PR1
ENSG00000171115,916.76,-3.15,0.26,-12.27, 1.3e-34, 4.6e-34,GIMAP8
ENSG00000171130,681.16,-1.78,0.13,-13.68, 1.3e-42, 5.7e-42,ATP6V0E2
ENSG00000171202,1105.13,1.61,0.11,14.33, 1.4e-46, 6.6e-46,TMEM126A
ENSG00000171208,2446.39,4.01,0.25,16.09, 2.9e-58, 1.9e-57,NETO2
ENSG00000171241,129.85,2.33,0.22,10.44, 1.6e-25, 4.3e-25,SHCBP1
ENSG00000171246,1419.38,2.79,0.4,7.05, 1.7e-12, 3.2e-12,NPTX1
ENSG00000171298,826.15,-2.21,0.43,-5.18, 2.2e-07, 3.3e-07,GAA
ENSG00000171314,6874.81,2.85,0.07,39.3, 0.0e+00, 0.0e+00,PGAM1
ENSG00000171453,3347.54,2.43,0.1,23.78,4.9e-125,1.4e-123,POLR1C
ENSG00000171467,1370.59,-1.74,0.1,-16.94, 2.2e-64, 1.7e-63,ZNF318
ENSG00000171522,9516.13,2.52,0.15,16.3, 1.0e-59, 6.7e-59,PTGER4
ENSG00000171552,10556.89,4.29,0.15,27.82,2.6e-170,1.7e-168,BCL2L1
ENSG00000171612,1487.46,2.68,0.12,23.24,1.9e-119,4.7e-118,SLC25A33
ENSG00000171703,269.08,-1.91,0.14,-13.99, 1.9e-44, 8.6e-44,TCEA2
ENSG00000171793,6923.84,4,0.11,36.73,2.7e-295,1.3e-292,CTPS1
ENSG00000171843,1051.83,-2.16,0.11,-20.43, 8.5e-93, 1.2e-91,MLLT3
ENSG00000171940,2164.11,-1.92,0.12,-15.57, 1.2e-54, 7.3e-54,ZNF217
ENSG00000172005,911.42,-3.45,0.37,-9.35, 8.7e-21, 2.1e-20,MAL
ENSG00000172009,2511.18,1.64,0.08,19.31, 4.4e-83, 5.1e-82,THOP1
ENSG00000172062,648.66,2,0.12,16.3, 1.0e-59, 6.8e-59,SMN1
ENSG00000172086,533.66,-1.78,0.16,-11.49, 1.4e-30, 4.5e-30,KRCC1
ENSG00000172115,11273.34,3.29,0.15,22.62,3.0e-113,6.7e-112,CYCS
ENSG00000172172,1414.84,1.91,0.14,13.81, 2.3e-43, 1.0e-42,MRPL13
ENSG00000172183,2689.1,-1.77,0.27,-6.55, 5.9e-11, 1.0e-10,ISG20
ENSG00000172215,254.82,-1.53,0.25,-6.13, 8.9e-10, 1.5e-09,CXCR6
ENSG00000172301,973.47,2.46,0.12,20.45, 6.1e-93, 8.6e-92,COPRS
ENSG00000172336,898.29,1.79,0.12,14.93, 2.2e-50, 1.2e-49,POP7
ENSG00000172349,4307.57,-2.92,0.12,-23.54,1.8e-122,4.8e-121,IL16
ENSG00000172575,3987.13,-1.53,0.17,-9.14, 6.5e-20, 1.5e-19,RASGRP1
ENSG00000172661,1508.04,-1.52,0.12,-12.76, 2.9e-37, 1.1e-36,WASHC2C
ENSG00000172663,574.44,-1.98,0.14,-14.64, 1.5e-48, 7.9e-48,TMEM134
ENSG00000172673,743.71,-2.6,0.17,-15.21, 3.2e-52, 1.8e-51,THEMIS
ENSG00000172785,985.2,1.58,0.08,20.5, 2.1e-93, 3.0e-92,ZNG1A
ENSG00000172890,2240.9,-2.27,0.12,-18.52, 1.4e-76, 1.3e-75,NADSYN1
ENSG00000172932,1782.36,-2.43,0.11,-23.17,8.6e-119,2.2e-117,ANKRD13D
ENSG00000172992,423.87,-1.55,0.12,-12.99, 1.3e-38, 5.1e-38,DCAKD
ENSG00000173020,9081.02,-1.79,0.09,-19.8, 2.7e-87, 3.4e-86,GRK2
ENSG00000173114,2691.18,-2,0.13,-15.96, 2.5e-57, 1.6e-56,LRRN3
ENSG00000173145,2694.55,1.88,0.11,16.68, 1.8e-62, 1.3e-61,NOC3L
