"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Gm11110",1.28540992929193,1.71252934898989,1.10239039599121,0.00618682735109586,0.0124253514689887
"Krt18",6740.1574383035,1.71083506181971,0.234811214324192,3.87801269896658e-14,2.96326924111373e-13
"Piezo2",39.8457365587484,1.71011496184432,0.23226109267919,2.19613185153096e-14,1.71565268789715e-13
"Pik3r5",42.9749095728547,1.70990659711564,0.270410021728953,2.92095019730227e-11,1.6882581293402e-10
"Rhbdf1",308.805872422782,1.70978977898841,0.108564251032255,9.94303154555759e-57,1.67286986194213e-54
"Ttc16",4.35752194744045,1.70968386845741,0.704966485846143,0.000988081260655119,0.00228980965326124
"Cd72",98.6254445555491,1.70934222787447,0.224538686507133,3.31980829208484e-15,2.81575124022063e-14
"Zfp808",27.2872300290338,1.7088325533498,0.313569562420615,5.31534273493025e-09,2.44400119243116e-08
"Mcub",10.9335335986122,1.70839380450895,0.579230820399517,0.000225039640721752,0.000577323070534719
"P2ry6",68.676970983541,1.70817343710677,0.218518350459189,6.75647375453616e-16,6.08477176521658e-15
"Mmp23",75.5849676667477,1.70791772751713,0.282359165911055,1.63174482528465e-10,8.77869229114622e-10
"Macroh2a2",37.6641029476463,1.70697827243083,0.256229240590322,3.17077226121383e-12,2.02559483045511e-11
"Efcab7",10.3852410320941,1.70651012889348,0.450376649515518,1.24916113195337e-05,3.87499582116343e-05
"Nr4a3",2.42618444664323,1.70520555253217,0.918192572202924,0.00370493946552586,0.00777230953168069
"Frmd6",231.673295217039,1.70490623156647,0.152495578082826,7.01055242915843e-30,1.85880077086583e-28
"Prickle2",64.389748232876,1.70485225038992,0.208970569002475,4.31872981540094e-17,4.35330788091641e-16
"Ush1c",4.74796467318463,1.70251431704225,0.981117043566977,0.00469439500674672,0.00964895250886956
"Pcdh18",28.2641965569834,1.70095465281586,0.328688284692028,2.34116593005839e-08,1.00110808381679e-07
"Zfp608",99.0952480767169,1.70032055152783,0.208300751096939,4.17882361658665e-17,4.22609227716771e-16
"Ttc12",21.3408584989036,1.69951418462568,0.375254606643524,5.58083027501674e-07,2.03636486395376e-06
"Cd300ld3",24.956578026148,1.69942110465396,0.36699526989449,3.4851072173248e-07,1.30696817165208e-06
"Niban1",100.07672553254,1.69914711223675,0.216230941368083,4.9244001947889e-16,4.50053700765225e-15
"Trerf1",22.7509209311037,1.69882165603784,0.284049961267406,2.48785991242681e-10,1.30989540254006e-09
"Cd33",16.3448488560335,1.69882016017025,0.305772882867334,2.96892608632115e-09,1.39918296612034e-08
"Fam118a",65.6078456388285,1.69823150508398,0.188806633018687,3.12235011126279e-20,4.10407198218327e-19
"Myo16",1.56323410060554,1.69752624732831,1.00700792770849,0.00516959227061295,0.0105413887342699
"Cd300ld5",24.8986474758947,1.69595330709439,0.359615083037554,2.33527838328461e-07,8.95730508589602e-07
"Fam189b",38.0430843858397,1.69509166034097,0.269938375537906,3.91193808673696e-11,2.23107051375165e-10
"Ly6c2",40.1376122339378,1.69217847298027,0.321785667352538,1.51666288712596e-08,6.63410069771687e-08
"Kcnab1",25.6697023567991,1.691809695667,0.366546226398442,3.76648560267176e-07,1.40707204377566e-06
"Adgrg1",229.708448115218,1.69072779743666,0.186807048863402,1.88590752549691e-20,2.52003542053223e-19
"Prdm6",8.76285937426336,1.68972540159146,0.631733642193358,0.000517006883397812,0.00125391648521441
"Dram1",36.8288160825466,1.68880833511897,0.298593194666285,1.69773747885442e-09,8.22298548054404e-09
"Rab33a",1.06501723296612,1.68802438296232,1.21076612306204,0.00782328960913286,0.0153976108824747
"Eprn",14.1231921974415,1.68715069010063,0.509989264295927,7.26398634878797e-05,0.000201611570721384
"Fzd2",14.4814629755712,1.68673315079601,0.507297333463863,6.86573618558518e-05,0.000191275296683163
"Fam217b",7.6947527164062,1.68623772133627,0.422083890040281,5.65902183385938e-06,1.83803996278055e-05
"Gdpd1",26.5913373150775,1.68583144190576,0.268342685588338,3.87176169449465e-11,2.20951876904139e-10
"Fkbp6",1.56828710751054,1.68580560983416,1.06026759261109,0.00617402672927084,0.0124036813589465
"Ighv1-77",1.61012102745564,1.68575523151321,1.08463966383353,0.00651085874662454,0.0130027476879012
"E030003E18Rik",10.7375898258082,1.68571574795535,0.493104866894063,4.97588973621491e-05,0.000141666521525444
"Dmrta2",2.58085505397539,1.68527197636242,0.895036652621737,0.00363637624753537,0.00763626633531567
"Sinhcaf",95.3121071308022,1.6838639317481,0.168229505000817,1.89759962460231e-24,3.4565823083184e-23
"Lrch2",2.08344874376252,1.68364203271154,0.838854774303982,0.00280275500754157,0.00600215076655541
"Slc16a8",0.923463216623229,1.68312393565673,1.19976134894396,0.00784653378748255,0.015436993813643
"Igkv13-84",1.33369546657911,1.68307005518489,1.10644786822451,0.00685340901776034,0.0136368176208677
"Specc1",94.5625816276748,1.68220661803377,0.214223413813235,5.21466518418421e-16,4.75876768065568e-15
"Zfp677",36.3142948022402,1.68212777210598,0.288088268567682,5.88885283267869e-10,2.98180572843733e-09
"Foxj1",43.8758235133253,1.68153756860349,0.371379162132535,5.70512438828035e-07,2.08048742963358e-06
"Dennd2c",27.4522258708119,1.68124589312837,0.221322618807503,3.8538964539274e-15,3.24938777552776e-14
"Il21r",32.973850256418,1.68011832714755,0.326548675815132,2.78675153344602e-08,1.18289932636435e-07
"Cplx2",72.0266282549766,1.67988894679721,0.227238021536851,1.80464869447459e-14,1.42364166191992e-13
"Nipa1",34.594530710476,1.67938814788215,0.22281617687763,6.07154339414582e-15,5.01186679729958e-14
"Tril",29.9603622851059,1.67900387711132,0.270354293463236,6.13600880201416e-11,3.43597927076781e-10
"Rhoc",576.232995143939,1.67889996291665,0.200117495186237,6.39710893554211e-18,6.90731009743745e-17
"Flna",1406.52748110615,1.67879831102715,0.24070872079796,3.76457758726743e-13,2.63008823735592e-12
"Tead4",11.1344952525275,1.67868251743207,0.357489802317848,2.61254492887767e-07,9.95888135916354e-07
"Thsd4",56.1786038880597,1.67433577124393,0.252038740430469,3.69536139857121e-12,2.34292748898107e-11
"C5ar1",44.6323685426198,1.67405758009547,0.330317059006234,4.17073025172074e-08,1.73416546323513e-07
"Igsf3",36.7451874611112,1.67287332411857,0.290084657169713,9.05920339040628e-10,4.49969611235236e-09
"Ffar4",7.77203229912736,1.67283283646701,0.472281659742091,3.25522658815491e-05,9.51128488585142e-05
"Mapk8ip1",104.45153548464,1.67248367032745,0.205107013508544,4.59005201281582e-17,4.60922911563659e-16
"Nav1",343.77068520216,1.67217609193535,0.161124471739403,4.3395451539233e-26,8.77726362444355e-25
"St3gal2",121.20397977736,1.6713645780655,0.19152627219065,3.50386378046206e-19,4.22724947751051e-18
"Nlgn3",4.09815242211239,1.67083544825608,0.68254249089064,0.000984252101620409,0.00228179301574457
"Tspan32",13.6070106965578,1.67076610234256,0.442297357842707,1.35647203014272e-05,4.19172280211243e-05
"1700066B19Rik",1.46082057792383,1.66989607899298,1.09136368394364,0.0069484119896476,0.0138080383004841
"Efhd1",19.3535094293933,1.66957711391209,0.337472474617911,7.71878710480565e-08,3.12448803474711e-07
"Tex49",2.41853175348833,1.66957374730064,1.14363346075914,0.00760804037982699,0.0150108745532471
"Npc1l1",0.873275357804102,1.66847072695197,1.23466738279067,0.00845110371561466,0.0165088216661263
"Glipr2",54.5968392348694,1.66827303275581,0.316765021916782,1.48400834304362e-08,6.49740771343937e-08
"Ctbp2",117.408728750237,1.66808089709284,0.196276748984817,2.54694193599029e-18,2.86194623007725e-17
"Lrrn2",1.77174297361131,1.66754089032859,1.12791810337969,0.00747167674068526,0.0147654374201668
"Asprv1",3.37452583350589,1.66704696173093,0.833577015576109,0.00292394372373781,0.00624433723692772
"Antxr1",100.69097516605,1.66541678743317,0.311681969984896,9.85315350851799e-09,4.39933201404445e-08
"Csrp1",564.473350034942,1.66398430784628,0.230276978576017,6.25625954708311e-14,4.70095799585332e-13
"Ddr2",198.476623095582,1.66397303368895,0.192393887139625,6.96762387027532e-19,8.13050535732568e-18
"Lekr1",7.50773888568234,1.66369174595917,0.472215054853232,3.51964886949157e-05,0.000102499042687145
"Tnfsf13b",18.6849409749645,1.66290371595808,0.357166224049466,3.2002935510278e-07,1.20455222186031e-06
"Agbl2",5.28338796835536,1.66198443190339,0.709702957489616,0.00131096103215621,0.00297327889976899
"Folr1",3.55287308085981,1.66121382720517,0.964337471621952,0.00516697992287603,0.0105372228575941
"Nudt10",3.31909213194588,1.66111881689948,0.61613866399403,0.000505879029655493,0.00123010159004523
"Gpr18",8.73743900007031,1.66111134577424,0.534829174386864,0.000146147846057168,0.000385402990450272
"Lrat",546.109776223653,1.66098308499366,0.253379746716302,6.71044495885337e-12,4.13713990557117e-11
"Serp2",2.50088741786696,1.6607016549461,0.973336785771218,0.00532756528145605,0.0108432036361935
"1500009L16Rik",2.13266713949148,1.66029206729709,0.996565483045148,0.00572087989438235,0.0115737127465385
"Cdhr1",0.845393367606006,1.65976464139966,1.3983981475771,0.00883866444278353,0.0172023517554522
"Atp2b2",155.194910609853,1.65959230817899,0.31278350351421,1.21122624995562e-08,5.36528583243865e-08
"Arl9",1.86088699470209,1.65717182965036,0.809084806527028,0.00266786643415991,0.0057356773212289
"Aff3",16.759302275409,1.65686807619415,0.37738298764714,1.08512212323067e-06,3.84793162188732e-06
"Hormad2",6.23908765999951,1.65582607733544,0.615664496696661,0.000519029300556108,0.00125822497374342
"Kctd17",166.284839404979,1.65537853499714,0.185298255579155,5.60722641667988e-20,7.22652780595366e-19
"I830077J02Rik",7.10324848254756,1.65497776441302,0.428512748419562,9.92339560452642e-06,3.11909447100833e-05
"Serpina5",7.99436931347441,1.65346498556124,0.570355604281315,0.000281398403531257,0.000710773884830487
"Iglc3",17.6056267233048,1.65237012014881,0.452842144168894,2.24894431314347e-05,6.73264516391882e-05
"Ier5l",50.1267654144996,1.65182761122273,0.314495390363742,1.62261417780402e-08,7.07413912570529e-08
"AI467606",21.2417783858458,1.65113805408266,0.392043940643872,2.37837192524824e-06,8.09127375378109e-06
"Dlg5",250.072213762258,1.65100946181611,0.143319750914374,1.51382938967667e-31,4.4612166424755e-30
"Rgs19",53.2394265426062,1.65092219239709,0.218416530129748,5.26454452359045e-15,4.38680438982839e-14
"5830428M24Rik",2.54532768954771,1.65086254309664,0.993417125946144,0.00586205579914108,0.0118347405557657
"Stk10",143.264646613739,1.6500552269506,0.139881107868242,5.92571433314901e-33,1.95485196370033e-31
"Strip2",6.97673624127675,1.64991739141577,0.50549239425993,8.80863047851722e-05,0.000240906345893185
"Irag1",106.931250303195,1.64964599491497,0.249581527274706,4.71226418822014e-12,2.95927632614151e-11
"Ehd2",203.18169776629,1.6489136788789,0.208294201242915,3.21954855825557e-16,2.99267630173962e-15
"Sh3rf3",2.77530548715353,1.64878060313349,0.821382596069581,0.00296165449618884,0.00631831005890107
"Tlr6",23.0743080517913,1.64851522847905,0.296059227624258,2.88481175857223e-09,1.36162232124194e-08
"Cd300ld2",7.24168393375401,1.64794000087152,0.517318537636343,0.000114599727843447,0.000308673724814245
"Fut7",5.29418251373253,1.6476797009749,0.545524763392222,0.000194945555052673,0.000505656256112099
"Nabp1",486.467519729617,1.64713058709703,0.145110150972066,1.05948708244545e-30,3.00735083356102e-29
"Hmox1",441.208173572036,1.64508040486076,0.180668553391302,1.18195584795588e-20,1.60135116238063e-19
"Stc1",4.73223282072767,1.64413344902246,0.847403696504078,0.00345239506858362,0.00728628983171138
"Chst8",13.2835841494631,1.6434670698682,0.499735710848598,8.16565862764768e-05,0.000224396996277772
"Popdc2",10.567158215362,1.64339983796918,0.66106032314242,0.000925209040776979,0.00215381681983139
"Pglyrp1",16.9936613658933,1.64295770137984,0.606698952558454,0.00050084324086151,0.00121849689215512
"Ppm1h",96.5993150728623,1.6423780787116,0.15915990781356,8.21475557073676e-26,1.63473635857662e-24
"Zc3h12b",1.44104144615365,1.641848157956,1.02471653556213,0.00658032593704323,0.0131315605042979
"Efnb3",5.10606658953894,1.64156950462485,0.643753091571328,0.000780505602064577,0.00183977498989364
"Ankrd35",6.67659384099962,1.64108730287695,0.629068356172258,0.000664403320882088,0.00158393820167008
"Grk3",153.808568702597,1.64072774688043,0.201016911626338,4.39906100069433e-17,4.43186836907186e-16
"Fbxo16",1.68341000723397,1.64035167639914,1.09653014835773,0.00771809088875525,0.0152150306857897
"Iglv1",12.1609339449967,1.63939401742219,0.555004930981012,0.000242261039483328,0.000618758633414015
"Dpep2",8.19304200366476,1.63924161699521,0.607642485206529,0.00051841893743478,0.00125696047099508
"Akr1b8",134.968397680588,1.6377136110325,0.226209874732487,5.76224107788763e-14,4.340325422404e-13
"Mlph",64.2258217016201,1.63554582812865,0.227485570658674,8.31739857265359e-14,6.14001178237335e-13
"Map3k6",82.726787531109,1.63542645263428,0.29686378233586,4.05931209564323e-09,1.88615839703915e-08
"Pcdhgc5",1.5555568431081,1.63516716699734,1.09516914584096,0.00782850360186846,0.0154031592770338
"Rgs2",122.075075978473,1.63498295291617,0.214462293426148,3.23134909109046e-15,2.74449644923411e-14
"Gpr88",1.53444126562886,1.63401378947074,1.01277642516662,0.00655784642867448,0.0130909355900635
"Alox12",30.4284908174227,1.633645535554,0.24716613549486,4.76919915090905e-12,2.99299995543824e-11
"Lpcat4",47.1048642048617,1.63288694590089,0.321338306480831,4.02385294504447e-08,1.67535312607285e-07
"Gspt2",16.9537122893997,1.63245718298164,0.313143728230331,2.02714528332295e-08,8.74507640057292e-08
