"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Mup18",-4.36974273898327,12.4791483684952,-11.4998142785492,1.33231449270622e-14,5.35139425199252e-13,23.0162340088868
"Esrrg",-4.33598158301672,-2.32523458256855,-7.55147433695993,2.28689993047943e-09,2.29550797445524e-08,11.3524478993575
"Extl1",-4.30163890111651,0.72642090077843,-8.15145322942317,3.2683973925365e-10,4.00301303753511e-09,13.2428226903552
"Mup10",-4.28684053157315,12.8056813055931,-11.1221111457932,3.88144061518432e-14,1.35214101249563e-12,21.9507697962261
"Mup22",-4.27230655960702,12.8365261226181,-11.095047670136,4.19349175635251e-14,1.44054516947637e-12,21.873842165935
"Lhpp",-4.1527021130411,3.53925754845436,-16.0318713647147,1.39740254372741e-19,3.44253443796161e-17,34.4823461338223
"Unc93a2",-4.09946221042888,0.389012790003895,-8.55770772501922,8.9279022593521e-11,1.25034135215301e-09,14.4830781542586
"Fitm1",-3.99707195310646,1.48647697137668,-10.5161053136579,2.24317899020475e-13,6.17279903613044e-12,20.3572415076547
"Gm12718",-3.98768896239311,-3.71312106711148,-5.41201786159691,2.7173529900887e-06,7.97388199598689e-06,4.57356475729266
"Hectd2os",-3.9572196609912,1.01901445870328,-7.6540392406178,1.63626913663686e-09,1.7025492259608e-08,11.5696734039091
"Dio1",-3.95559637075592,4.75101837938981,-14.3984349502433,6.60829084622564e-18,8.58978187534264e-16,30.6239168831843
"Kcnk10",-3.95448924504932,-1.64658302104801,-8.51926260950186,1.00869774754386e-10,1.40128811147782e-09,14.3369398008914
"Shh",-3.94784246854713,-3.40006704658225,-5.82320100414505,6.97021169579275e-07,2.19661873702572e-06,5.87697152102912
"Unc79",-3.9288775814827,-3.41382386167372,-6.37972605191242,1.09625317148019e-07,7.69101730042802e-07,7.63904598384826
"Chac1",-3.88701324868112,0.60470888535801,-5.91296025768926,5.17390822128536e-07,1.64799266050965e-06,6.09996618728549
"Grid1",-3.87905962384558,-2.30738430718548,-8.32245342928425,1.8888979318209e-10,2.45651698352998e-09,13.7292971699823
"Mup5",-3.87359683197113,9.66843145614055,-11.9783158663735,3.52996155178358e-15,1.71957656233495e-13,24.2799658709639
"Moxd1",-3.84241889693495,-4.62231540263908,-4.30087854348306,9.82615110568992e-05,0.00023819047010672,1.18571271645857
"Slc2a5",-3.79781879411683,1.17389627299157,-6.88875037192658,2.02457002757963e-08,1.62638363054045e-07,9.17202299758122
