Approved symbol,DMSO_1,DMSO_2,DMSO_3,MG132_1,MG132_2,MG132_3,BRD1732_1,BRD1732_2,BRD1732_3,BRD1732_1um
SLC25A3,9.20022,9.3026,9.45408,9.28471,10.4715,9.56766,9.82301,11.0261,11.8934,9.97677
GFM2,9.34585,10.011,9.51761,9.41014,9.51121,9.83632,10.0764,10.793,11.2369,10.2616
MIGA2,10.396,12.437,9.41122,9.02136,9.04037,8.87421,9.9608,10.0536,10.0564,10.7491
CMTR2,10.5346,9.45707,10.4979,8.6729,9.69371,9.10207,10.3605,9.70279,10.6008,11.3776
ABRAXAS1,10.4081,10.1113,11.0569,8.96977,8.50269,9.16132,9.15846,10.321,10.2508,12.0597
POGK,9.40671,9.46957,8.98783,9.6351,9.54247,9.88048,10.6756,10.6931,11.0583,10.6508
DNA2,13.7229,14.9968,13.9184,7.017,7.45443,6.98451,7.80891,8.10463,8.02377,11.9685
LRCH4,13.3296,14.0984,12.8962,7.86218,7.65664,7.63142,8.36874,8.30664,9.14924,10.701
STUB1,10.9133,11.2595,11.0548,8.66151,9.2882,9.04392,9.81628,9.60388,10.6891,9.66955
PRPF31,9.92885,10.5931,9.95429,9.12451,9.13008,9.42967,9.95368,10.2753,10.6502,10.9602
MED26,7.37479,7.69294,7.43946,10.5073,10.2582,10.9133,11.4534,11.9528,11.9212,10.4866
MDH2,9.22505,9.33656,9.51724,9.38093,10.0946,9.803,10.5402,10.5262,11.5776,9.99862
RAB6B,10.5247,10.3116,10.3404,8.93511,9.41768,9.00498,9.84697,10.0806,10.5692,10.9687
TMPO,9.48468,10.0372,9.53339,9.9,9.53573,9.32308,10.7246,10.1691,11.1621,10.1301
FLCN,9.14647,9.0831,9.69534,9.5823,9.76713,9.6678,10.8413,10.8151,10.6853,10.7162
MRPL53,9.77634,10.2249,10.1118,9.25529,9.34818,9.35932,9.66422,10.3161,11.1825,10.7613
RPL11,10.7456,10.955,11.2332,9.24345,8.97442,9.16906,10.1357,10.3628,10.0169,9.1638
ARF4,9.83611,8.95067,9.29157,10.4966,9.87857,9.57072,12.4539,10.9292,9.98041,8.6122
ESPL1,10.8112,10.7948,10.8005,9.2207,9.1762,8.70618,10.2985,10.0593,9.83677,10.2958
ZNF330,8.94299,10.6533,10.1255,9.29637,9.73454,10.1482,10.9948,11.0626,10.4448,8.59703
RALA,7.9416,8.22519,8.37446,9.66136,11.1345,10.4606,10.9648,11.4307,12.418,9.38887
PABPN1,10.3904,9.06696,9.77395,9.54241,9.55064,9.01627,10.5531,10.0785,10.6709,11.3567
CENPX,10.6221,9.81786,9.22678,10.7898,8.84407,9.06553,11.5472,10.8729,9.53737,9.67643
UFSP2,10.5969,10.4597,10.5737,9.0657,9.34579,8.90318,9.85694,9.61317,10.944,10.6409
TRUB2,10.2829,10.788,9.90087,8.66236,8.43692,9.23522,9.49467,9.89409,9.92901,13.3759
SMIM12,11.3281,12.2943,12.093,8.20884,8.20761,8.31722,8.50094,9.31639,9.70315,12.0305
SPRY2,7.4831,7.85718,7.98771,10.0765,11.0366,11.1027,11.1453,11.9868,12.7133,8.6108
WWP2,11.0646,11.64,11.4216,8.62536,8.55153,8.8333,9.41644,9.49468,10.0293,10.9232
TSC1,9.94145,10.0707,9.35951,9.74423,9.7241,9.65532,11.4918,10.8668,10.0415,9.10464
MRRF,9.72447,9.9502,10.2942,9.283,9.21607,9.73613,10.0976,10.1335,11.18,10.3848
ARNT,10.1441,9.55734,10.3507,9.16777,9.33192,10.1361,10.0654,11.0647,10.7207,9.46128
PTPMT1,10.1187,9.97911,8.94903,9.11598,9.35004,9.51418,9.14613,9.99427,11.9778,11.8548
RAB23,10.4419,10.676,10.8568,9.33777,9.0285,9.00363,10.3234,9.88028,10.2356,10.216
MRPS23,9.28158,10.4688,10.0469,9.30508,8.88692,9.8645,9.82134,10.8321,10.5474,10.9454
RIOK1,9.89952,10.1404,9.90463,9.74933,9.69089,9.50756,10.7712,10.6121,10.8067,8.91766
NKAPD1,8.13222,7.70394,7.10771,10.8283,11.2966,10.1015,12.6826,11.3783,11.7729,8.99601
FIP1L1,7.70358,7.41443,8.17006,10.3774,10.9069,10.4475,12.1047,11.1738,12.0017,9.69992
NEXN,8.12621,6.56103,8.05952,10.1902,10.3901,10.5475,11.8985,11.0022,11.7036,11.5211
CDC37,9.35669,9.6312,9.46825,9.79326,9.94658,9.93195,11.4156,11.7946,9.77414,8.88773
MED16,10.5309,10.7723,10.8126,8.87598,8.77633,8.8467,9.37222,9.64455,10.4401,11.9282
MRPS35,9.56225,11.4031,9.46721,9.26246,9.02398,9.28803,10.0107,9.89175,10.7489,11.3416
ACOX1,11.0535,11.2986,11.3805,8.47186,8.80703,8.68299,9.27175,9.30077,10.2836,11.4495
CFAP20,9.49741,8.64449,9.38425,9.66425,10.3203,9.82973,10.9558,10.4901,11.6911,9.5225
PALS2,11.1961,11.6329,11.3057,8.54073,8.53892,8.53241,9.19864,9.40856,9.85692,11.7891
MRPS31,10.0429,9.44329,9.69229,9.70377,9.45809,9.35959,10.2486,10.6051,10.8433,10.6031
TSPYL2,2.11459,2.08412,2.52583,13.2682,14.0269,14.664,14.1986,15.0525,17.3786,4.68674
MRPL51,10.6838,10.079,9.86434,8.94259,9.0456,9.72134,10.0698,9.93665,10.7872,10.8697
MT-CYB,8.02074,8.38834,9.0022,9.3169,11.1264,10.2657,10.6666,11.6965,11.761,9.75562
HUWE1,9.29385,9.52575,9.26359,9.87239,9.93249,10.071,10.8488,11.0194,11.3253,8.8475
EPM2AIP1,10.8004,11.3724,11.1015,8.83106,8.77872,8.84083,9.42342,10.0782,9.88498,10.8885
MRPL50,10.4006,9.47477,10.0202,9.34321,9.46544,9.22098,9.89666,10.1139,11.1299,10.9344
CTC1,11.214,12.642,12.156,8.40895,7.72416,8.33279,8.70343,9.59654,8.87998,12.3421
NDUFA7,8.44475,8.57632,9.31598,8.99324,10.453,10.5403,10.9527,9.7712,12.5882,10.3643
UQCRC2,10.0541,9.85336,9.79581,9.4411,9.66181,9.41263,10.5051,10.0816,11.0901,10.1044
UBAC2,9.83876,9.8798,10.1592,9.27859,9.85749,9.26937,10.1668,10.1855,11.1998,10.1647
VWA8,11.5344,12.1727,11.7682,8.00112,8.34121,8.60057,8.61492,9.18965,9.89855,11.8787
